"registro_id","url","title","word_count"
"522","https://www.boatos.org/entretenimento/mario-gomes-foi-internado-nos-anos-70-por-colocar-uma-cenoura-no-anus.html","Mário Gomes foi internado nos anos 70 por colocar uma cenoura no ânus #boato","822"
"523","https://www.boatos.org/entretenimento/mario-sergio-cortella-escreve-texto-aquele-que-tiver-a-solucao-que-atire-a-1a-pedra.html","Mário Sérgio Cortella escreve texto em que diz “aquele que tiver a solução que atire a 1ª pedra” #boato","731"
"524","https://www.boatos.org/entretenimento/marrone-esta-completamente-cego-e-em-cadeira-de-rodas.html","É falso que Marrone esteja cego e em cadeira de rodas","512"
"525","https://www.boatos.org/entretenimento/mc-gui-banido-disney-encerra-carreira-tenta-suicidio-perde-todos-patrocinadores.html","MC Gui é banido da Disney, encerra carreira, tenta suicídio e perde todos patrocinadores #boato","1216"
"526","https://www.boatos.org/entretenimento/mick-jagger-fala-para-bilionarios-como-mark-zuckerberg-que-devemos-doar-riquezas-e-faz-doacao-de-r-10-milhoes.html","É falso que Mick Jagger tenha confrontado bilionários como Zuckerberg e anunciado doação de US$ 10 milhões","1082"
"527","https://www.boatos.org/entretenimento/mike-wolfe-do-cacadores-de-reliquias-foi-preso-e-condenado-a-prisao-perpetua.html","Vídeo falso criado por IA inventa que Mike Wolfe, do Caçadores de Relíquias, foi preso e condenado à prisão perpétua","746"
"528","https://www.boatos.org/entretenimento/ministerio-da-cultura-vai-pagar-r-20-milhoes-para-artistas-homenagearem-paulo-gustavo-em-show-da-beyonce-boato.html","Ministério da Cultura vai pagar R$ 20 milhões para artistas homenagearem Paulo Gustavo em show da Beyoncé #boato","667"
"529","https://www.boatos.org/entretenimento/morre-ariano-suassuna-informacao-errada-sobre-morte-de-escritor-e-publicada.html","Informação errada sobre morte de escritor Ariano Suassuna é publicada","481"
"530","https://www.boatos.org/entretenimento/morre-claudia-rodrigues-aos-44-anos-no-rio-boato.html","Morre Claudia Rodrigues, aos 44 anos, no Rio #boato","311"
"531","https://www.boatos.org/entretenimento/morre-renato-aragao-diz-boato.html","Morre Renato Aragão, diz boato","522"
"532","https://www.boatos.org/entretenimento/morre-roberta-miranda-aos-59-anos-de-infarto-boato.html","Morre Roberta Miranda aos 59 anos de infarto #boato","319"
"533","https://www.boatos.org/entretenimento/morrem-mariana-rios-e-eduardo-costa-em-julho-de-2024.html","É falso que Mariana Rios e Eduardo Costa tenham morrido em julho de 2024","445"
"534","https://www.boatos.org/entretenimento/neil-diamond-esta-com-alzheimer-perdeu-a-memoria-e-relembrou-apenas-em-musical.html","É falso que Neil Diamond esteja com Alzheimer e tenha “perdido toda memória”","543"
"535","https://www.boatos.org/entretenimento/neta-brian-may-guitarrista-queen-faz-dueto-avo-quarentena.html","Neta de Brian May (guitarrista do Queen) faz dueto com o avô na quarentena #boato","567"
"536","https://www.boatos.org/entretenimento/ney-latorraca-morreu-boato-fala-de-morte-apos-cirurgia.html","Ney Latorraca morreu: boato fala de morte após cirurgia","426"
"537","https://www.boatos.org/entretenimento/nicole-bahls-revelou-plataforma-de-criptomoedas-no-danilo-gentili-foi-processada-pelo-banco-nacional-do-brasil.html","Nicole Bahls não revelou plataforma de criptomoedas no Danilo Gentili e Banco Nacional do Brasil não existe","1163"
"538","https://www.boatos.org/entretenimento/nome-do-remedio-ritalina-e-uma-homenagem-a-rita-lee.html","É falso que remédio Ritalina seja uma homenagem a Rita Lee","558"
"539","https://www.boatos.org/entretenimento/nostradamus-previu-chegada-coronavirus-livro-1555.html","Nostradamus previu a chegada do coronavírus em livro de 1555 #boato","925"
"540","https://www.boatos.org/entretenimento/noticia-falsa-acdc-vai-acabar-apos-saida-de-guitarrista-malcolm-young.html","Notícia falsa: AC/DC vai acabar após saída de guitarrista Malcolm Young","353"
